+-----+-----+------------------------------------+------------------------------------------+---------------------+--------+----------+
|  #  | ID  |              课程名称              |                   作者                   |      购买日期       |  价格  | 学习进度 |
+-----+-----+------------------------------------+------------------------------------------+---------------------+--------+----------+
|   0 | 512 | 熊逸讲透资治通鉴¹（年度日更）     | 熊逸·思想隐士                           | 2020-04-27 00:25:29 | 299.00 |       98 |
|   1 | 590 | 和菜头·成年人修炼手册（年度日更） | 和菜头·知名作家、互联网熊猫             | 2021-02-25 00:04:10 | 299.00 |       13 |
|   2 | 547 | 贾行家·文化参考（年度日更）       | 贾行家·著名作家，得到专职作者           | 2020-08-31 00:40:54 | 299.00 |       58 |
|   3 | 560 | 吴军·硅谷来信³（年度日更）       | 吴军·计算机科学家                       | 2020-10-24 00:21:40 | 299.00 |       43 |
|   4 | 558 | 卓克·科技参考（年度日更）         | 卓克·科技观察家                         | 2020-10-14 21:12:58 | 299.00 |       44 |
|   5 |  93 | 万维钢·精英日课第一季             | 万维钢·科学作家                         | 2019-09-23 16:43:48 | 299.00 |      100 |
|   6 | 116 | 万维钢·精英日课第二季             | 万维钢·科学作家                         | 2019-09-23 16:44:35 | 299.00 |      100 |
|   7 |  99 | 吴军·硅谷来信                     | 吴军·计算机科学家                       | 2019-09-23 16:43:50 | 199.00 |       71 |
|   8 | 596 | 顾衡·西方美术100讲                | 顾衡·读书人                             | 2021-03-16 10:11:32 | 199.00 |        9 |
|   9 | 481 | 顾衡好书榜                         | 顾衡·读书人                             | 2021-03-04 10:10:37 | 299.00 |        2 |
|  10 | 338 | 万维钢·精英日课³                 | 万维钢·科学作家                         | 2019-09-23 16:46:25 | 299.00 |      100 |
|  11 | 492 | 万维钢·精英日课⁴                 | 万维钢·科学作家                         | 2020-03-01 00:13:27 | 299.00 |      100 |
|  12 | 588 | 冯雪·高血压医学课                 | 冯雪·阜外医院心脏康复中心主任、减肥专家 | 2021-01-29 00:08:59 |  49.90 |      100 |
|  13 | 587 | 陈海贤·家庭关系21讲               | 陈海贤·心理学博士                       | 2021-02-02 09:21:03 |  99.00 |      100 |
|  14 | 450 | 梁宁·增长思维30讲                 | 梁宁·著名产品人                         | 2019-09-25 23:37:38 |  99.00 |      100 |
|  15 | 552 | 得到App校招大礼包                  | 得到·得到App                            | 2021-02-14 10:00:07 |   0.00 |        0 |
|  16 | 591 | 如何玩转智能手机                   | 得到App·知识礼物                        | 2021-02-14 09:58:36 |   0.00 |        0 |
|  17 | 462 | 熊逸·唐诗进阶20讲                 | 熊逸·思想隐士                           | 2019-11-17 09:24:13 |  69.00 |       20 |
|  18 | 138 | 王立铭·生命科学50讲               | 王立铭·浙江大学生命科学研究院教授       | 2019-09-23 16:46:26 |  99.00 |      100 |
|  19 | 107 | 熊逸书院                           | 熊逸·思想隐士                           | 2019-09-23 16:46:36 | 199.00 |       67 |
