103.10.15 13:06 B D:\cylee\homework\p.zip --> 163.15.59.177 / p.zip
103.10.28 17:36 B D:\cylee\homework\q10487.htm <-- 177 /homework q10487.htm
103.10.28 17:37 B D:\cylee\homework\q10564.htm <-- 177 /homework q10564.htm
103.10.28 17:37 B D:\cylee\homework\p10564.gif <-- 177 /homework p10564.gif
103.10.28 17:37 B D:\cylee\homework\q10527.htm <-- 177 /homework q10527.htm
103.10.28 17:37 B D:\cylee\homework\q10539.htm <-- 177 /homework q10539.htm
103.10.28 17:37 B D:\cylee\homework\q10551.htm <-- 177 /homework q10551.htm
103.10.28 17:37 B D:\cylee\homework\q10564.htm <-- 177 /homework q10564.htm
103.10.28 17:37 B D:\cylee\homework\q10566.htm <-- 177 /homework q10566.htm
103.10.28 17:37 B D:\cylee\homework\q10573.htm <-- 177 /homework q10573.htm
103.10.28 17:38 B D:\cylee\homework\q10202.htm <-- 177 /homework q10202.htm
103.10.28 17:38 B D:\cylee\homework\q10141.htm <-- 177 /homework q10141.htm
